symbol,cluster,rank,config_id,pf_tr,n_tr,pf_fwd,n_fwd,pf_json
FIL,1,top1,33612559,0.502477743892031,94,0.9368220164947543,48,5.765
FIL,1,mid,36059136,0.930791339437159,725,0.966328882911375,289,1.542
FIL,1,tail,33959328,1.0561178190712655,262,1.048899096671944,107,2.114
FIL,2,top1,5289072,0.9860125150006132,884,0.7510229005056053,519,1.25
FIL,2,mid,17447469,0.8796463168289338,311,0.8107001849206099,187,1.514
FIL,2,tail,7910496,1.0400710255745238,949,0.7079715242057156,574,1.206
INJ,0,top1,19414462,0.7918032609362071,505,0.7348689546355723,210,1.424
INJ,0,mid,2665760,0.8319502081025238,520,0.9174807935676665,193,1.369
INJ,0,tail,19479999,0.7909548530128963,576,0.7177790990650906,243,1.318
INJ,1,top1,9107821,0.8060340627629693,1024,0.9509561358367569,455,1.506
INJ,1,mid,9435488,0.8116428404270797,1056,0.9929571321675306,466,1.491
INJ,1,tail,408979,0.8242039307681281,1458,0.8802023695330653,605,1.379
INJ,2,top1,40166030,1.187448564391031,324,1.4001345922653134,167,1.47
INJ,2,mid,23198848,1.2032974090350979,865,1.1760347379658846,520,1.291
INJ,2,tail,24345728,1.186188439758,1011,1.086070614539402,613,1.231
SEI,0,top1,23034527,1.445449923305569,164,5.922863052942382,32,1.884
SEI,0,mid,5546501,1.1966412755014926,202,4.01268284872149,39,1.668
SEI,0,tail,20937240,1.324106300201155,194,3.166768771091469,41,1.738
SEI,1,top1,38533766,1.2361943350425644,181,1.0605339888936545,100,1.802
SEI,1,mid,56767892,1.0056530765760754,179,1.9967549761474872,118,2.475
SEI,1,tail,34880012,1.0489600895491284,205,1.4313188881488483,159,1.896
SEI,2,top1,26966737,0.7486063203103559,153,1.7739386901962406,74,1.908
SEI,2,mid,37289456,0.8255469046195648,374,1.1060489049822801,212,1.466
SEI,2,tail,36765168,0.8741999058771368,325,0.9806815965175528,192,1.517
GRT,0,top1,34648634,1.0582189102554516,210,0.5376818600222949,110,2.409
GRT,0,mid,39477835,0.747310614256336,254,0.4882570881925133,109,2.1
GRT,0,tail,36764303,0.9722422673465563,339,0.7753254916028993,151,2.174
GRT,1,top1,29078403,0.9237360096459735,544,1.3247135429134618,248,1.768
GRT,1,mid,65549061,1.0560980369927653,274,1.1513677232001989,139,2.165
GRT,1,tail,65549196,1.1764306011024777,260,1.0592496367191357,130,2.432
GRT,2,top1,58457547,0.8411400824489087,1008,1.06811107876303,494,1.229
GRT,2,mid,41676224,0.90801672761208,829,1.0605972210795358,434,1.246
GRT,2,tail,39742922,0.88633263839174,863,1.076148560285806,442,1.253
MANA,0,top1,5339578,0.8829404721725755,679,0.9217049584644503,334,3.622
MANA,0,mid,5257662,0.8899140602019608,614,0.9437746153016753,280,3.366
MANA,0,tail,6060476,0.8700889774405841,729,0.9001056570012993,353,3.619
MANA,1,top1,35173823,0.9515321972862797,624,0.8004324889278758,350,1.299
MANA,1,mid,35238671,0.5943080577384726,99,0.8930575781875167,38,3.023
MANA,1,tail,34304924,0.8325646469918178,67,0.8185515791857637,31,3.461
MANA,2,top1,53443118,2.2003257387017046,304,1.2314813687764128,125,1.98
MANA,2,mid,57440957,0.9238581316744133,336,1.1782079629348767,128,1.815
MANA,2,tail,55409340,0.9102083921587388,314,1.3262054552798683,117,1.83
SAND,0,top1,20075296,1.1993269750879565,180,1.666812115425308,77,6.032
SAND,0,mid,20091776,1.0493671257137256,157,1.4731554995762448,73,5.698
SAND,0,tail,20224768,1.0154598026421537,168,1.5269914503821846,84,5.449
SAND,1,top1,1129791,1.2993713922637848,596,1.6572576936410537,257,1.514
SAND,1,mid,3292479,1.2276975455579262,720,1.4926226431765224,301,1.456
SAND,1,tail,3702111,1.167524235611903,823,1.5242912107554336,350,1.411
SAND,2,top1,16987014,1.0747311256390297,130,1.889526993505907,68,7.785
SAND,2,mid,27194251,0.7707016305459473,469,1.0606838242806598,223,2.215
SAND,2,tail,11498379,0.9252605985113083,341,1.1109897797681323,162,2.399
ONDO,0,top1,3881305,0.8699314180558252,298,1.2328539795499651,85,1.687
ONDO,0,mid,34748537,0.9793706834441679,252,1.2145150911770701,79,1.817
ONDO,0,tail,3570175,0.9177540240717903,259,0.8996578809025498,85,1.924
ONDO,1,top1,47741459,1.041232741690906,170,1.5945337127680244,87,1.926
ONDO,1,mid,2800139,1.1021638987608444,95,1.3540758799561858,54,1.78
ONDO,1,tail,43661843,1.1071315285374814,153,1.389237260649453,80,1.788
ONDO,2,top1,29980978,1.5594194100759908,37,2.003678826661421,46,1.823
ONDO,2,mid,15889175,1.0456336505253767,26,3.006080246218809,31,2.015
ONDO,2,tail,49164946,1.6922778949077224,33,1.5904523562126145,44,1.693
